,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,gtex_tissue,data_source
418,usage_CL:0000900 total RNA-seq,-,total RNA-seq,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",primary_cell,adult,,encode
419,usage_CL:0000909 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:0000909,"CD8-positive, alpha-beta memory T cell",primary_cell,unknown,,encode
420,usage_CL:0000909 total RNA-seq,-,total RNA-seq,CL:0000909,"CD8-positive, alpha-beta memory T cell",primary_cell,adult,,encode
421,usage_CL:0001053 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:0001053,IgD-negative memory B cell,primary_cell,unknown,,encode
422,usage_CL:0001054 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:0001054,CD14-positive monocyte,primary_cell,adult,,encode
423,usage_CL:0001059 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,,encode
424,usage_CL:0002098 total RNA-seq,-,total RNA-seq,CL:0002098,regular cardiac myocyte,primary_cell,adult,,encode
425,usage_CL:0002188 total RNA-seq,-,total RNA-seq,CL:0002188,glomerular endothelial cell,primary_cell,embryonic,,encode
426,usage_CL:0002306 total RNA-seq,-,total RNA-seq,CL:0002306,epithelial cell of proximal tubule,primary_cell,unknown,,encode
427,usage_CL:0002319 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:0002319,neural cell,in_vitro_differentiated_cells,embryonic,,encode
428,usage_CL:0002324 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:0002324,myoepithelial cell of mammary gland,primary_cell,adult,,encode
429,usage_CL:0002326 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:0002326,luminal epithelial cell of mammary gland,primary_cell,adult,,encode
430,usage_CL:0002327 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,,encode
431,usage_CL:0002327 total RNA-seq,-,total RNA-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,,encode
432,usage_CL:0002328 total RNA-seq,-,total RNA-seq,CL:0002328,bronchial epithelial cell,primary_cell,adult,,encode
433,usage_CL:0002351 total RNA-seq,-,total RNA-seq,CL:0002351,progenitor cell of endocrine pancreas,in_vitro_differentiated_cells,embryonic,,encode
434,usage_CL:0002366 total RNA-seq,-,total RNA-seq,CL:0002366,myometrial cell,primary_cell,adult,,encode
435,usage_CL:0002368 total RNA-seq,-,total RNA-seq,CL:0002368,airway epithelial cell,primary_cell,unknown,,encode
436,usage_CL:0002372 total RNA-seq,-,total RNA-seq,CL:0002372,myotube,in_vitro_differentiated_cells,unknown,,encode
437,usage_CL:0002451 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:0002451,mammary stem cell,primary_cell,adult,,encode
438,usage_CL:0002518 total RNA-seq,-,total RNA-seq,CL:0002518,kidney epithelial cell,primary_cell,"embryonic,newborn",,encode
439,usage_CL:0002539 total RNA-seq,-,total RNA-seq,CL:0002539,aortic smooth muscle cell,primary_cell,adult,,encode
440,usage_CL:0002540 total RNA-seq,-,total RNA-seq,CL:0002540,mesenchymal stem cell of the bone marrow,primary_cell,adult,,encode
441,usage_CL:0002543 total RNA-seq,-,total RNA-seq,CL:0002543,vein endothelial cell,primary_cell,adult,,encode
442,usage_CL:0002545 total RNA-seq,-,total RNA-seq,CL:0002545,thoracic aorta endothelial cell,primary_cell,adult,,encode
443,usage_CL:0002547 total RNA-seq,-,total RNA-seq,CL:0002547,fibroblast of the aortic adventitia,primary_cell,adult,,encode
444,usage_CL:0002551 total RNA-seq,-,total RNA-seq,CL:0002551,fibroblast of dermis,primary_cell,adult,,encode
445,usage_CL:0002553 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:0002553,fibroblast of lung,primary_cell,adult,,encode
446,usage_CL:0002553 total RNA-seq,-,total RNA-seq,CL:0002553,fibroblast of lung,primary_cell,adult,,encode
447,usage_CL:0002558 total RNA-seq,-,total RNA-seq,CL:0002558,fibroblast of villous mesenchyme,primary_cell,newborn,,encode
448,usage_CL:0002568 total RNA-seq,-,total RNA-seq,CL:0002568,mesenchymal stem cell of Wharton's jelly,primary_cell,newborn,,encode
449,usage_CL:0002570 total RNA-seq,-,total RNA-seq,CL:0002570,mesenchymal stem cell of adipose,primary_cell,adult,,encode
450,usage_CL:0002577 total RNA-seq,-,total RNA-seq,CL:0002577,placental epithelial cell,primary_cell,newborn,,encode
451,usage_CL:0002583 total RNA-seq,-,total RNA-seq,CL:0002583,subcutaneous preadipocyte,primary_cell,adult,,encode
452,usage_CL:0002584 total RNA-seq,-,total RNA-seq,CL:0002584,renal cortical epithelial cell,primary_cell,adult,,encode
453,usage_CL:0002591 total RNA-seq,-,total RNA-seq,CL:0002591,smooth muscle cell of the pulmonary artery,primary_cell,adult,,encode
454,usage_CL:0002592 total RNA-seq,-,total RNA-seq,CL:0002592,smooth muscle cell of the coronary artery,primary_cell,adult,,encode
455,usage_CL:0002594 total RNA-seq,-,total RNA-seq,CL:0002594,smooth muscle cell of the umbilical artery,primary_cell,newborn,,encode
456,usage_CL:0002597 total RNA-seq,-,total RNA-seq,CL:0002597,smooth muscle cell of bladder,primary_cell,adult,,encode
457,usage_CL:0002598 total RNA-seq,-,total RNA-seq,CL:0002598,bronchial smooth muscle cell,primary_cell,adult,,encode
458,usage_CL:0002600 total RNA-seq,-,total RNA-seq,CL:0002600,smooth muscle cell of trachea,primary_cell,adult,,encode
459,usage_CL:0002601 total RNA-seq,-,total RNA-seq,CL:0002601,uterine smooth muscle cell,primary_cell,adult,,encode
460,usage_CL:0002618 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,,encode
461,usage_CL:0002618 total RNA-seq,-,total RNA-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,,encode
