,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,gtex_tissue,data_source
569,usage_UBERON:0000019 total RNA-seq,-,total RNA-seq,UBERON:0000019,camera-type eye,tissue,embryonic,,encode
570,usage_UBERON:0000056 total RNA-seq,-,total RNA-seq,UBERON:0000056,ureter,tissue,adult,,encode
571,usage_UBERON:0000081 total RNA-seq,-,total RNA-seq,UBERON:0000081,metanephros,tissue,embryonic,,encode
572,usage_UBERON:0000088 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0000088,trophoblast,tissue,embryonic,,encode
573,usage_UBERON:0000305 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0000305,amnion,tissue,embryonic,,encode
574,usage_UBERON:0000317 total RNA-seq,-,total RNA-seq,UBERON:0000317,colonic mucosa,tissue,adult,,encode
575,usage_UBERON:0000458 gtex Cervix_Endocervix polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0000458,endocervix,tissue,adult,Cervix_Endocervix,gtex
576,usage_UBERON:0000473 gtex Testis polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0000473,testis,tissue,adult,Testis,gtex
577,usage_UBERON:0000473 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0000473,testis,tissue,adult,,encode
578,usage_UBERON:0000473 total RNA-seq,-,total RNA-seq,UBERON:0000473,testis,tissue,adult,,encode
579,usage_UBERON:0000945 gtex Stomach polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0000945,stomach,tissue,adult,Stomach,gtex
580,usage_UBERON:0000945 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0000945,stomach,tissue,adult,,encode
581,usage_UBERON:0000945 total RNA-seq,-,total RNA-seq,UBERON:0000945,stomach,tissue,adult,,encode
582,usage_UBERON:0000947 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0000947,aorta,tissue,adult,,encode
583,usage_UBERON:0000947 total RNA-seq,-,total RNA-seq,UBERON:0000947,aorta,tissue,adult,,encode
584,usage_UBERON:0000948 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0000948,heart,tissue,adult,,encode
585,usage_UBERON:0000948 total RNA-seq,-,total RNA-seq,UBERON:0000948,heart,tissue,adult,,encode
586,usage_UBERON:0000955 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0000955,brain,tissue,adult,,encode
587,usage_UBERON:0000992 gtex Ovary polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0000992,ovary,tissue,adult,Ovary,gtex
588,usage_UBERON:0000992 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0000992,ovary,tissue,adult,,encode
589,usage_UBERON:0000992 total RNA-seq,-,total RNA-seq,UBERON:0000992,ovary,tissue,adult,,encode
590,usage_UBERON:0000995 gtex Uterus polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0000995,uterus,tissue,adult,Uterus,gtex
591,usage_UBERON:0000995 total RNA-seq,-,total RNA-seq,UBERON:0000995,uterus,tissue,adult,,encode
592,usage_UBERON:0000996 gtex Vagina polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0000996,vagina,tissue,adult,Vagina,gtex
593,usage_UBERON:0000996 total RNA-seq,-,total RNA-seq,UBERON:0000996,vagina,tissue,adult,,encode
594,usage_UBERON:0001013 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001013,adipose tissue,tissue,adult,,encode
595,usage_UBERON:0001043 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001043,esophagus,tissue,adult,,encode
596,usage_UBERON:0001072 total RNA-seq,-,total RNA-seq,UBERON:0001072,posterior vena cava,tissue,adult,,encode
597,usage_UBERON:0001114 gtex Liver polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001114,right lobe of liver,tissue,adult,Liver,gtex
598,usage_UBERON:0001114 total RNA-seq,-,total RNA-seq,UBERON:0001114,right lobe of liver,tissue,adult,,encode
599,usage_UBERON:0001115 total RNA-seq,-,total RNA-seq,UBERON:0001115,left lobe of liver,tissue,adult,,encode
600,usage_UBERON:0001134 total RNA-seq,-,total RNA-seq,UBERON:0001134,skeletal muscle tissue,tissue,embryonic,,encode
601,usage_UBERON:0001150 gtex Pancreas polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001150,body of pancreas,tissue,adult,Pancreas,gtex
602,usage_UBERON:0001150 total RNA-seq,-,total RNA-seq,UBERON:0001150,body of pancreas,tissue,adult,,encode
603,usage_UBERON:0001157 gtex Colon_Transverse polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001157,transverse colon,tissue,adult,Colon_Transverse,gtex
604,usage_UBERON:0001157 total RNA-seq,-,total RNA-seq,UBERON:0001157,transverse colon,tissue,adult,,encode
605,usage_UBERON:0001159 gtex Colon_Sigmoid polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001159,sigmoid colon,tissue,adult,Colon_Sigmoid,gtex
606,usage_UBERON:0001159 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001159,sigmoid colon,tissue,adult,,encode
607,usage_UBERON:0001159 total RNA-seq,-,total RNA-seq,UBERON:0001159,sigmoid colon,tissue,adult,,encode
608,usage_UBERON:0001211 gtex Small_Intestine_Terminal_Ileum polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001211,Peyer's patch,tissue,adult,Small_Intestine_Terminal_Ileum,gtex
609,usage_UBERON:0001211 total RNA-seq,-,total RNA-seq,UBERON:0001211,Peyer's patch,tissue,adult,,encode
610,usage_UBERON:0001224 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001224,renal pelvis,tissue,embryonic,,encode
611,usage_UBERON:0001225 gtex Kidney_Cortex polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001225,cortex of kidney,tissue,adult,Kidney_Cortex,gtex
612,usage_UBERON:0001255 gtex Bladder polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001255,urinary bladder,tissue,adult,Bladder,gtex
613,usage_UBERON:0001255 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001255,urinary bladder,tissue,child,,encode
614,usage_UBERON:0001255 total RNA-seq,-,total RNA-seq,UBERON:0001255,urinary bladder,tissue,embryonic,,encode
615,usage_UBERON:0001264 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001264,pancreas,tissue,adult,,encode
616,usage_UBERON:0001264 total RNA-seq,-,total RNA-seq,UBERON:0001264,pancreas,tissue,adult,,encode
617,usage_UBERON:0001293 gtex Kidney_Medulla polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001293,outer medulla of kidney,tissue,adult,Kidney_Medulla,gtex
618,usage_UBERON:0001322 total RNA-seq,-,total RNA-seq,UBERON:0001322,sciatic nerve,tissue,adult,,encode
619,usage_UBERON:0001323 gtex Nerve_Tibial polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001323,tibial nerve,tissue,adult,Nerve_Tibial,gtex
620,usage_UBERON:0001323 total RNA-seq,-,total RNA-seq,UBERON:0001323,tibial nerve,tissue,adult,,encode
621,usage_UBERON:0001383 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001383,muscle of leg,tissue,embryonic,,encode
622,usage_UBERON:0001496 gtex Artery_Aorta polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001496,ascending aorta,tissue,adult,Artery_Aorta,gtex
623,usage_UBERON:0001496 total RNA-seq,-,total RNA-seq,UBERON:0001496,ascending aorta,tissue,adult,,encode
624,usage_UBERON:0001499 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001499,muscle of arm,tissue,embryonic,,encode
625,usage_UBERON:0001515 total RNA-seq,-,total RNA-seq,UBERON:0001515,thoracic aorta,tissue,adult,,encode
626,usage_UBERON:0001621 gtex Artery_Coronary polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001621,coronary artery,tissue,adult,Artery_Coronary,gtex
627,usage_UBERON:0001723 total RNA-seq,-,total RNA-seq,UBERON:0001723,tongue,tissue,embryonic,,encode
628,usage_UBERON:0001774 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001774,muscle of trunk,tissue,embryonic,,encode
629,usage_UBERON:0001870 gtex Brain_Cortex polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001870,frontal cortex,tissue,adult,Brain_Cortex,gtex
630,usage_UBERON:0001870 total RNA-seq,-,total RNA-seq,UBERON:0001870,frontal cortex,tissue,embryonic,,encode
631,usage_UBERON:0001871 total RNA-seq,-,total RNA-seq,UBERON:0001871,temporal lobe,tissue,embryonic,,encode
632,usage_UBERON:0001872 total RNA-seq,-,total RNA-seq,UBERON:0001872,parietal lobe,tissue,embryonic,,encode
633,usage_UBERON:0001873 gtex Brain_Caudate_basal_ganglia polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001873,caudate nucleus,tissue,adult,Brain_Caudate_basal_ganglia,gtex
634,usage_UBERON:0001874 gtex Brain_Putamen_basal_ganglia polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001874,putamen,tissue,adult,Brain_Putamen_basal_ganglia,gtex
635,usage_UBERON:0001876 gtex Brain_Amygdala polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001876,amygdala,tissue,adult,Brain_Amygdala,gtex
636,usage_UBERON:0001882 gtex Brain_Nucleus_accumbens_basal_ganglia polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001882,nucleus accumbens,tissue,adult,Brain_Nucleus_accumbens_basal_ganglia,gtex
637,usage_UBERON:0001894 total RNA-seq,-,total RNA-seq,UBERON:0001894,diencephalon,tissue,embryonic,,encode
638,usage_UBERON:0001898 gtex Brain_Hypothalamus polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001898,hypothalamus,tissue,adult,Brain_Hypothalamus,gtex
639,usage_UBERON:0001954 gtex Brain_Hippocampus polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001954,Ammon's horn,tissue,adult,Brain_Hippocampus,gtex
640,usage_UBERON:0001987 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0001987,placenta,tissue,embryonic,,encode
641,usage_UBERON:0001987 total RNA-seq,-,total RNA-seq,UBERON:0001987,placenta,tissue,embryonic,,encode
642,usage_UBERON:0002021 total RNA-seq,-,total RNA-seq,UBERON:0002021,occipital lobe,tissue,embryonic,,encode
643,usage_UBERON:0002037 gtex Brain_Cerebellum polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002037,cerebellum,tissue,adult,Brain_Cerebellum,gtex
644,usage_UBERON:0002037 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002037,cerebellum,tissue,embryonic,,encode
645,usage_UBERON:0002037 total RNA-seq,-,total RNA-seq,UBERON:0002037,cerebellum,tissue,embryonic,,encode
646,usage_UBERON:0002038 gtex Brain_Substantia_nigra polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002038,substantia nigra,tissue,adult,Brain_Substantia_nigra,gtex
647,usage_UBERON:0002046 gtex Thyroid polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002046,thyroid gland,tissue,adult,Thyroid,gtex
648,usage_UBERON:0002046 total RNA-seq,-,total RNA-seq,UBERON:0002046,thyroid gland,tissue,adult,,encode
649,usage_UBERON:0002048 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002048,lung,tissue,adult,,encode
650,usage_UBERON:0002048 total RNA-seq,-,total RNA-seq,UBERON:0002048,lung,tissue,embryonic,,encode
651,usage_UBERON:0002078 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002078,right cardiac atrium,tissue,adult,,encode
652,usage_UBERON:0002078 total RNA-seq,-,total RNA-seq,UBERON:0002078,right cardiac atrium,tissue,adult,,encode
653,usage_UBERON:0002079 total RNA-seq,-,total RNA-seq,UBERON:0002079,left cardiac atrium,tissue,adult,,encode
654,usage_UBERON:0002080 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002080,heart right ventricle,tissue,adult,,encode
655,usage_UBERON:0002080 total RNA-seq,-,total RNA-seq,UBERON:0002080,heart right ventricle,tissue,adult,,encode
656,usage_UBERON:0002084 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002084,heart left ventricle,tissue,adult,,encode
657,usage_UBERON:0002084 total RNA-seq,-,total RNA-seq,UBERON:0002084,heart left ventricle,tissue,adult,,encode
658,usage_UBERON:0002097 total RNA-seq,-,total RNA-seq,UBERON:0002097,skin of body,tissue,embryonic,,encode
659,usage_UBERON:0002099 total RNA-seq,-,total RNA-seq,UBERON:0002099,cardiac septum,tissue,adult,,encode
660,usage_UBERON:0002106 gtex Spleen polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002106,spleen,tissue,adult,Spleen,gtex
661,usage_UBERON:0002106 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002106,spleen,tissue,adult,,encode
662,usage_UBERON:0002106 total RNA-seq,-,total RNA-seq,UBERON:0002106,spleen,tissue,adult,,encode
663,usage_UBERON:0002107 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002107,liver,tissue,child,,encode
664,usage_UBERON:0002107 total RNA-seq,-,total RNA-seq,UBERON:0002107,liver,tissue,embryonic,,encode
665,usage_UBERON:0002108 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002108,small intestine,tissue,adult,,encode
666,usage_UBERON:0002113 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002113,kidney,tissue,adult,,encode
667,usage_UBERON:0002113 total RNA-seq,-,total RNA-seq,UBERON:0002113,kidney,tissue,adult,,encode
668,usage_UBERON:0002167 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002167,right lung,tissue,embryonic,,encode
669,usage_UBERON:0002168 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002168,left lung,tissue,embryonic,,encode
670,usage_UBERON:0002168 total RNA-seq,-,total RNA-seq,UBERON:0002168,left lung,tissue,adult,,encode
671,usage_UBERON:0002170 total RNA-seq,-,total RNA-seq,UBERON:0002170,upper lobe of right lung,tissue,adult,,encode
672,usage_UBERON:0002171 total RNA-seq,-,total RNA-seq,UBERON:0002171,lower lobe of right lung,tissue,adult,,encode
673,usage_UBERON:0002190 gtex Adipose_Subcutaneous polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002190,subcutaneous adipose tissue,tissue,adult,Adipose_Subcutaneous,gtex
674,usage_UBERON:0002190 total RNA-seq,-,total RNA-seq,UBERON:0002190,subcutaneous adipose tissue,tissue,adult,,encode
675,usage_UBERON:0002240 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002240,spinal cord,tissue,embryonic,,encode
676,usage_UBERON:0002240 total RNA-seq,-,total RNA-seq,UBERON:0002240,spinal cord,tissue,embryonic,,encode
677,usage_UBERON:0002245 gtex Brain_Cerebellar_Hemisphere polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002245,cerebellar hemisphere,tissue,adult,Brain_Cerebellar_Hemisphere,gtex
678,usage_UBERON:0002324 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002324,muscle of back,tissue,embryonic,,encode
679,usage_UBERON:0002331 total RNA-seq,-,total RNA-seq,UBERON:0002331,umbilical cord,tissue,embryonic,,encode
680,usage_UBERON:0002367 gtex Prostate polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002367,prostate gland,tissue,adult,Prostate,gtex
681,usage_UBERON:0002367 total RNA-seq,-,total RNA-seq,UBERON:0002367,prostate gland,tissue,adult,,encode
682,usage_UBERON:0002369 gtex Adrenal_Gland polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002369,adrenal gland,tissue,adult,Adrenal_Gland,gtex
683,usage_UBERON:0002369 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002369,adrenal gland,tissue,adult,,encode
684,usage_UBERON:0002369 total RNA-seq,-,total RNA-seq,UBERON:0002369,adrenal gland,tissue,adult,,encode
685,usage_UBERON:0002370 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0002370,thymus,tissue,embryonic,,encode
686,usage_UBERON:0002469 total RNA-seq,-,total RNA-seq,UBERON:0002469,esophagus mucosa,tissue,adult,,encode
687,usage_UBERON:0003124 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0003124,chorion,tissue,embryonic,,encode
688,usage_UBERON:0003662 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0003662,forelimb muscle,tissue,embryonic,,encode
689,usage_UBERON:0003663 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0003663,hindlimb muscle,tissue,embryonic,,encode
690,usage_UBERON:0003889 gtex Fallopian_Tube polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0003889,fallopian tube,tissue,adult,Fallopian_Tube,gtex
691,usage_UBERON:0004264 gtex Skin_Sun_Exposed_Lower_leg polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0004264,lower leg skin,tissue,adult,Skin_Sun_Exposed_Lower_leg,gtex
692,usage_UBERON:0004264 total RNA-seq,-,total RNA-seq,UBERON:0004264,lower leg skin,tissue,adult,,encode
693,usage_UBERON:0004538 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0004538,left kidney,tissue,embryonic,,encode
694,usage_UBERON:0004550 gtex Esophagus_Gastroesophageal_Junction polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0004550,gastroesophageal sphincter,tissue,adult,Esophagus_Gastroesophageal_Junction,gtex
695,usage_UBERON:0004550 total RNA-seq,-,total RNA-seq,UBERON:0004550,gastroesophageal sphincter,tissue,adult,,encode
696,usage_UBERON:0004648 gtex Esophagus_Muscularis polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0004648,esophagus muscularis mucosa,tissue,adult,Esophagus_Muscularis,gtex
697,usage_UBERON:0004648 total RNA-seq,-,total RNA-seq,UBERON:0004648,esophagus muscularis mucosa,tissue,adult,,encode
698,usage_UBERON:0004992 total RNA-seq,-,total RNA-seq,UBERON:0004992,mucosa of descending colon,tissue,adult,,encode
699,usage_UBERON:0005033 total RNA-seq,-,total RNA-seq,UBERON:0005033,mucosa of gallbladder,tissue,child,,encode
700,usage_UBERON:0005270 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0005270,renal cortex interstitium,tissue,embryonic,,encode
701,usage_UBERON:0006330 gtex Minor_Salivary_Gland polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0006330,anterior lingual gland,tissue,adult,Minor_Salivary_Gland,gtex
702,usage_UBERON:0006469 gtex Brain_Spinal_cord_cervical_c-1 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0006469,C1 segment of cervical spinal cord,tissue,adult,Brain_Spinal_cord_cervical_c-1,gtex
703,usage_UBERON:0006566 gtex Heart_Left_Ventricle polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0006566,left ventricle myocardium,tissue,adult,Heart_Left_Ventricle,gtex
704,usage_UBERON:0006631 gtex Heart_Atrial_Appendage polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0006631,right atrium auricular region,tissue,adult,Heart_Atrial_Appendage,gtex
705,usage_UBERON:0006631 total RNA-seq,-,total RNA-seq,UBERON:0006631,right atrium auricular region,tissue,adult,,encode
706,usage_UBERON:0006920 gtex Esophagus_Mucosa polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0006920,esophagus squamous epithelium,tissue,adult,Esophagus_Mucosa,gtex
707,usage_UBERON:0006920 total RNA-seq,-,total RNA-seq,UBERON:0006920,esophagus squamous epithelium,tissue,adult,,encode
708,usage_UBERON:0007106 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0007106,chorionic villus,tissue,embryonic,,encode
709,usage_UBERON:0007610 gtex Artery_Tibial polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0007610,tibial artery,tissue,adult,Artery_Tibial,gtex
710,usage_UBERON:0008367 gtex Breast_Mammary_Tissue polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0008367,breast epithelium,tissue,adult,Breast_Mammary_Tissue,gtex
711,usage_UBERON:0008367 total RNA-seq,-,total RNA-seq,UBERON:0008367,breast epithelium,tissue,adult,,encode
712,usage_UBERON:0008450 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0008450,psoas muscle,tissue,adult,,encode
713,usage_UBERON:0008450 total RNA-seq,-,total RNA-seq,UBERON:0008450,psoas muscle,tissue,adult,,encode
714,usage_UBERON:0008952 gtex Lung polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0008952,upper lobe of left lung,tissue,adult,Lung,gtex
715,usage_UBERON:0008952 total RNA-seq,-,total RNA-seq,UBERON:0008952,upper lobe of left lung,tissue,adult,,encode
716,usage_UBERON:0008953 total RNA-seq,-,total RNA-seq,UBERON:0008953,lower lobe of left lung,tissue,adult,,encode
717,usage_UBERON:0008971 total RNA-seq,-,total RNA-seq,UBERON:0008971,left colon,tissue,adult,,encode
718,usage_UBERON:0009834 gtex Brain_Frontal_Cortex_BA9 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,Brain_Frontal_Cortex_BA9,gtex
719,usage_UBERON:0009834 total RNA-seq,-,total RNA-seq,UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,,encode
720,usage_UBERON:0009835 gtex Brain_Anterior_cingulate_cortex_BA24 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0009835,anterior cingulate cortex,tissue,adult,Brain_Anterior_cingulate_cortex_BA24,gtex
721,usage_UBERON:0010414 gtex Adipose_Visceral_Omentum polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0010414,omental fat pad,tissue,adult,Adipose_Visceral_Omentum,gtex
722,usage_UBERON:0010414 total RNA-seq,-,total RNA-seq,UBERON:0010414,omental fat pad,tissue,adult,,encode
723,usage_UBERON:0011907 gtex Muscle_Skeletal polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0011907,gastrocnemius medialis,tissue,adult,Muscle_Skeletal,gtex
724,usage_UBERON:0011907 total RNA-seq,-,total RNA-seq,UBERON:0011907,gastrocnemius medialis,tissue,adult,,encode
725,usage_UBERON:0012249 gtex Cervix_Ectocervix polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0012249,ectocervix,tissue,adult,Cervix_Ectocervix,gtex
726,usage_UBERON:0013756 gtex Whole_Blood polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0013756,venous blood,tissue,adult,Whole_Blood,gtex
727,usage_UBERON:0015143 total RNA-seq,-,total RNA-seq,UBERON:0015143,mesenteric fat pad,tissue,adult,,encode
728,usage_UBERON:0018115 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0018115,left renal pelvis,tissue,embryonic,,encode
729,usage_UBERON:0018116 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0018116,right renal pelvis,tissue,embryonic,,encode
730,usage_UBERON:0018117 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0018117,left renal cortex interstitium,tissue,embryonic,,encode
731,usage_UBERON:0018118 polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0018118,right renal cortex interstitium,tissue,embryonic,,encode
732,usage_UBERON:0036149 gtex Skin_Not_Sun_Exposed_Suprapubic polyA plus RNA-seq,-,polyA plus RNA-seq,UBERON:0036149,suprapubic skin,tissue,adult,Skin_Not_Sun_Exposed_Suprapubic,gtex
733,usage_UBERON:0036149 total RNA-seq,-,total RNA-seq,UBERON:0036149,suprapubic skin,tissue,adult,,encode
