,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,nonzero_mean
139,UBERON:0002078 ATAC-seq,.,ATAC-seq,UBERON:0002078,right cardiac atrium,tissue,adult,encode,paired,False,0.2509532570838928
140,UBERON:0002079 ATAC-seq,.,ATAC-seq,UBERON:0002079,left cardiac atrium,tissue,adult,encode,paired,False,0.32439956068992615
141,UBERON:0002080 ATAC-seq,.,ATAC-seq,UBERON:0002080,heart right ventricle,tissue,adult,encode,paired,False,0.1907806694507599
142,UBERON:0002084 ATAC-seq,.,ATAC-seq,UBERON:0002084,heart left ventricle,tissue,adult,encode,paired,False,0.23439067602157593
143,UBERON:0002099 ATAC-seq,.,ATAC-seq,UBERON:0002099,cardiac septum,tissue,adult,encode,paired,False,1.774492621421814
144,UBERON:0002106 ATAC-seq,.,ATAC-seq,UBERON:0002106,spleen,tissue,adult,encode,paired,False,0.18534542620182037
145,UBERON:0002107 ATAC-seq,.,ATAC-seq,UBERON:0002107,liver,tissue,adult,encode,paired,False,0.3416995704174042
146,UBERON:0002113 ATAC-seq,.,ATAC-seq,UBERON:0002113,kidney,tissue,adult,encode,paired,False,0.40251538157463074
147,UBERON:0002168 ATAC-seq,.,ATAC-seq,UBERON:0002168,left lung,tissue,child,encode,paired,False,0.4284360408782959
148,UBERON:0002170 ATAC-seq,.,ATAC-seq,UBERON:0002170,upper lobe of right lung,tissue,adult,encode,paired,False,0.2896386384963989
149,UBERON:0002171 ATAC-seq,.,ATAC-seq,UBERON:0002171,lower lobe of right lung,tissue,adult,encode,paired,False,0.2252897024154663
150,UBERON:0002190 ATAC-seq,.,ATAC-seq,UBERON:0002190,subcutaneous adipose tissue,tissue,adult,encode,paired,False,0.9239097833633423
151,UBERON:0002369 ATAC-seq,.,ATAC-seq,UBERON:0002369,adrenal gland,tissue,adult,encode,paired,False,0.9822091460227966
152,UBERON:0002394 ATAC-seq,.,ATAC-seq,UBERON:0002394,bile duct,tissue,adult,encode,paired,False,0.4307073652744293
153,UBERON:0002469 ATAC-seq,.,ATAC-seq,UBERON:0002469,esophagus mucosa,tissue,adult,encode,paired,False,0.3933384418487549
154,UBERON:0003889 ATAC-seq,.,ATAC-seq,UBERON:0003889,fallopian tube,tissue,adult,encode,paired,False,0.25850507616996765
155,UBERON:0004550 ATAC-seq,.,ATAC-seq,UBERON:0004550,gastroesophageal sphincter,tissue,adult,encode,paired,False,0.9912630915641785
156,UBERON:0004992 ATAC-seq,.,ATAC-seq,UBERON:0004992,mucosa of descending colon,tissue,adult,encode,paired,False,0.2983551621437073
